,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
7668,2017,LAS,Psychology,1583,412,1170,1214,369
7631,2017,LAS,Economics,1243,877,366,610,633
7659,2017,LAS,Molecular and Cellular Biology,1002,462,540,903,99
7617,2017,LAS,Chemistry,819,477,342,392,427
7615,2017,LAS,Chemical Engineering,785,526,259,461,324
7656,2017,LAS,Mathematics,744,458,285,214,530
7620,2017,LAS,Communication,716,256,460,598,118
7611,2017,LAS,Biology,696,265,431,621,75
7666,2017,LAS,Political Science,696,398,298,604,92
7678,2017,LAS,Statistics,506,286,220,145,361
