Major Name,Total
Agr & Environmental Cmc & Educ,9
Agricultural & Applied Econ,449
Agricultural Communications,77
Agricultural Education,37
Agricultural Engineering,73
Agricultural Sciences,39
Agronomy,152
Animal Sciences,541
CONSM ECON,35
CORE CURR,32
DIETETICS,91
EXT EDUC,3
FAM&CON EC,7
Food Science & Human Nutrition,187
Forestry,177
H DVL-FAM,165
HR&FS A&ID,9
HU DEV&FAM,32
Horticulture,81
MKT TEXT&A,78
Mechanical Agriculture,68
Nutritional Sciences,47
ORN HORT,87
PLANT PATH,23
Physics,274
REST MGMT,60
"Recreation, Sport, and Tourism ",11
Secondary Education,22
Spanish,48
Speech & Hearing Science,224
Statistics,19
TEXT-APPRL,5
Teaching of Biological Science,8
Teaching of Chemistry,11
Teaching of Earth Science,2
Teaching of English Sec Lang,85
Teaching of French,10
Teaching of German,5
Teaching of Latin,2
Teaching of Mathematics,27
Teaching of Physics,4
