,Fall,College,Major Name,Total,Male,Female
703,1983,Fine and Applied Arts,Architectural Studies,558,395,163
707,1983,Fine and Applied Arts,Art and Design,360,172,188
718,1983,Fine and Applied Arts,Music Education,251,112,139
704,1983,Fine and Applied Arts,Architecture,216,177,39
717,1983,Fine and Applied Arts,Music,210,110,100
710,1983,Fine and Applied Arts,Graphic Design,170,50,120
723,1983,Fine and Applied Arts,Urban Planning,143,82,61
712,1983,Fine and Applied Arts,Landscape Architecture,142,93,49
711,1983,Fine and Applied Arts,Industrial Design,103,52,51
715,1983,Fine and Applied Arts,MUSIC-INST,93,41,52
