Major Name,Total
Actuarial Science,21
African American Studies,8
Anthropology,63
Applied Mathematics,13
Asian Studies,13
Astronomy,29
Atmospheric Sciences,37
BIOCH,159
Biochemistry,80
Biology,762
Biophysics & Computnl Biology,54
CELL & STR BIOL,59
Chemical Engineering,397
Chemical Physics,4
Chemistry,370
Classical Philology,6
Classics,4
Comparative Literature,28
Creative Writing,14
E Asian Languages & Cultures,26
English,129
Entomology,36
French,30
GEN CURR,2075
Geography,30
Geology,45
German,21
History,101
Italian,4
LATIN AMER ST,8
Linguistics,67
Mathematics,175
Microbiology,52
Molecular & Integrative Physi,35
Molecular and Cellular Biology,5
Neuroscience,46
PRE-JOURN,544
PRE-MED,213
Philosophy,37
Plant Biology,28
Political Science,40
Portuguese,3
Psychology,174
REES,7
Slavic Languages & Literature,6
Sociology,47
Speech Communication,54
TRANSITION,206
UNCLASS,170
UNCM FR&SO,180
