,Fall,College,Major Name,Total,Male,Female
4394,2002,ACES,Animal Sciences,595,166,429
4399,2002,ACES,Food Science & Human Nutrition,376,95,281
4389,2002,ACES,Agr & Consumer Economics,352,243,109
4420,2002,ACES,Physics,310,268,42
4423,2002,ACES,Speech & Hearing Science,280,13,267
4421,2002,ACES,"Recreation, Sport, and Tourism ",166,126,40
4390,2002,ACES,Agr & Environmental Cmc & Educ,154,52,102
4398,2002,ACES,Crop Sciences,153,92,61
4417,2002,ACES,Natural Resrcs & Environ Sci,143,78,65
4401,2002,ACES,HDFS-CH&AD DEV,133,5,128
