,Fall,College,Major Name,Male,Female
6685,2013,Fine and Applied Arts,Architectural Studies,247,197
6686,2013,Fine and Applied Arts,Architecture,113,65
6687,2013,Fine and Applied Arts,Art Education,15,48
6688,2013,Fine and Applied Arts,Art Foundation,42,79
6689,2013,Fine and Applied Arts,Art History,2,25
6690,2013,Fine and Applied Arts,Art and Design,10,30
6691,2013,Fine and Applied Arts,Crafts,1,17
6692,2013,Fine and Applied Arts,Dance,12,54
6693,2013,Fine and Applied Arts,Graphic Design,25,52
6694,2013,Fine and Applied Arts,History of Art,1,9
6695,2013,Fine and Applied Arts,Industrial Design,52,56
6696,2013,Fine and Applied Arts,Instrumental Music,39,38
6697,2013,Fine and Applied Arts,Jazz Performance,19,3
6698,2013,Fine and Applied Arts,Landscape Architecture,39,58
6699,2013,Fine and Applied Arts,Music,169,177
6700,2013,Fine and Applied Arts,Music Composition,8,1
6701,2013,Fine and Applied Arts,Music Education,80,100
6702,2013,Fine and Applied Arts,Music History,0,2
6703,2013,Fine and Applied Arts,Musicology,14,8
6704,2013,Fine and Applied Arts,New Media,11,9
6705,2013,Fine and Applied Arts,Nondegree,14,20
6706,2013,Fine and Applied Arts,Open Studies,0,5
6707,2013,Fine and Applied Arts,Painting,9,16
6708,2013,Fine and Applied Arts,Photography,9,19
6709,2013,Fine and Applied Arts,Regional Planning,11,8
6710,2013,Fine and Applied Arts,Sculpture,2,3
6711,2013,Fine and Applied Arts,Theatre,80,96
6712,2013,Fine and Applied Arts,Urban Planning,63,63
6713,2013,Fine and Applied Arts,Voice,5,21
