,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
6111,2010,LAS,Psychology,1446,466,977,1184,262
6102,2010,LAS,Molecular and Cellular Biology,1030,528,502,965,65
6109,2010,LAS,Political Science,913,570,343,801,112
6075,2010,LAS,Economics,906,640,266,401,505
6069,2010,LAS,Communication,844,326,518,744,100
6076,2010,LAS,English,813,262,550,695,118
6060,2010,LAS,Biology,784,380,404,696,88
6066,2010,LAS,Chemistry,730,450,279,413,317
6064,2010,LAS,Chemical Engineering,621,417,203,395,226
6088,2010,LAS,History,599,381,217,489,110
