Major Name,Total
Accountancy,1231
BUS NON-DEGREE,46
Business Administration,1152
Computer Science,477
Economics,223
Executive MBA Program,45
Finance,925
INT'L MSBA,45
Leisure Studies,29
Teaching of Spanish,24
Technical Systems Management,88
Theatre,128
UNASSIGNED,432
