,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5462,2007,LAS,General Curriculum,3379,1569,1809,3100,279
5491,2007,LAS,Psychology,1520,460,1058,1270,250
5489,2007,LAS,Political Science,1130,651,477,1018,112
5458,2007,LAS,English,1037,321,713,900,137
5457,2007,LAS,Economics,928,678,246,618,310
5481,2007,LAS,Molecular and Cellular Biology,916,454,461,860,56
5445,2007,LAS,Biology,908,389,516,804,104
5450,2007,LAS,Chemistry,741,440,301,441,300
5500,2007,LAS,Speech Communication,729,318,410,655,74
5467,2007,LAS,History,711,446,263,597,114
