,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5027,2005,Fine and Applied Arts,Architectural Studies,534,308,226,463,71
5041,2005,Fine and Applied Arts,Music,277,123,154,74,203
5043,2005,Fine and Applied Arts,Music Education,227,101,126,201,26
5028,2005,Fine and Applied Arts,Architecture,203,114,88,135,68
5052,2005,Fine and Applied Arts,Theatre,199,94,105,134,65
5053,2005,Fine and Applied Arts,Urban Planning,191,98,93,156,35
5035,2005,Fine and Applied Arts,General Curriculum,176,67,109,165,11
5040,2005,Fine and Applied Arts,Landscape Architecture,158,93,65,126,32
5039,2005,Fine and Applied Arts,Instrumental Music,122,52,70,83,39
5029,2005,Fine and Applied Arts,Art Education,106,17,89,92,14
