,Fall,College,Major Name,Male,Female
1985,1989,Media,Advertising,67,195
1986,1989,Media,Broadcast Journalism,14,51
1987,1989,Media,Communication,23,14
1988,1989,Media,Journalism,11,17
1989,1989,Media,Media Studies,13,16
1990,1989,Media,News-Editorial,52,76
