,Fall,College,Major Name,Total,Male,Female
5146,2006,ACES,Animal Sciences,617,182,434
5149,2006,ACES,Food Science & Human Nutrition,414,106,308
5141,2006,ACES,Agr & Consumer Economics,336,208,128
5152,2006,ACES,Human Development & Family St,222,20,202
5155,2006,ACES,Natural Resrcs & Environ Sci,211,121,90
5144,2006,ACES,"Agribusiness, Farm & Financial ",208,158,49
5148,2006,ACES,Crop Sciences,153,104,49
5153,2006,ACES,"Intl, Resource, Consumer Econ ",116,68,48
5154,2006,ACES,Natural Res & Env Sciences,99,47,52
5142,2006,ACES,Agr & Environmental Cmc & Educ,98,24,74
