Major Name,Total
Anthropology,58
Applied Mathematics,28
Asian Studies,16
Astronomy,20
Atmospheric Sciences,24
BIOCH,170
Biochemistry,119
Biology,139
Biophysics & Computnl Biology,34
Chemical Engineering,434
Chemical Physics,3
Chemistry,524
Classical Philology,9
Classics,6
Comparative Literature,33
English,115
Entomology,32
French,46
GEN CURR,2146
Genetics,2
Geography,42
Geology,70
German,31
HR&FS,1
History,102
Italian,6
LAS TCH MATH,11
Linguistics,89
Mathematics,163
Microbiology,63
Molecular & Integrative Physi,58
PRE-JOURN,605
PRE-MED,193
PUB ADMIN,6
Philosophy,42
Plant Biology,38
Political Science,49
Portuguese,1
Psychology,191
Slavic Languages & Literature,26
Sociology,35
Speech Communication,46
TCH BIOL,22
TCH ENGL,56
TCH SOC ST,15
TCH SPEECH,6
TEACH CS,3
UNCLASS,157
UNCM FR&SO,149
