,Fall,College,Major Name,Male,Female
4081,2000,Education,ED POL ST,32,64
4082,2000,Education,ED SEC&CON,25,70
4083,2000,Education,EDUC ELEMENTARY,9,86
4084,2000,Education,EDUC GEN,40,266
4085,2000,Education,Early Childhood Education,1,56
4086,2000,Education,Ed Organization and Leadership,46,61
4087,2000,Education,Educ Voc Tech,37,50
4088,2000,Education,Educational Psychology,32,67
4089,2000,Education,Elementary Education,25,273
4090,2000,Education,Secondary & Continuing Educ,19,15
4091,2000,Education,Special Education,12,109
4092,2000,Education,UG NON-DEG,0,2
