,Fall,College,Major Name,Total,Male,Female
7261,2016,ACES,Agr & Consumer Economics,675,464,211
7267,2016,ACES,Animal Sciences,601,107,494
7271,2016,ACES,Food Science & Human Nutrition,469,102,367
7270,2016,ACES,Crop Sciences,255,151,104
7277,2016,ACES,Natural Resrcs & Environ Sci,226,105,121
7274,2016,ACES,Human Development & Family St,191,17,174
7278,2016,ACES,Nondegree,115,62,53
7264,2016,ACES,Agricultural & Biological Engr,101,65,36
7263,2016,ACES,Agricultural & Applied Econ,82,49,33
7276,2016,ACES,Natural Res & Env Sciences,79,38,41
