,Fall,College,Major Name,Total,Male,Female
1391,1986,VetMed,Veterinary Medicine,316,154,162
1387,1986,VetMed,VMS - Veterinary Biosciences,37,27,10
1388,1986,VetMed,VMS - Veterinary Pathobiology,32,15,17
1389,1986,VetMed,VMS-Veterinary Clinical Medcne,23,14,9
1390,1986,VetMed,Veterinary Medical Science,1,0,1
