,Fall,College,Major Name,Total,Male,Female
299,1981,Engineering,Electrical Engineering,1561,1402,159
303,1981,Engineering,Mechanical Engineering,1021,939,82
292,1981,Engineering,Civil Engineering,811,701,110
300,1981,Engineering,GEN ENGR,586,446,140
294,1981,Engineering,Computer Science,583,430,153
288,1981,Engineering,Aero & Astro Engineering,435,405,30
293,1981,Engineering,Computer Engineering,323,275,48
304,1981,Engineering,Nuclear Engineering,197,184,13
302,1981,Engineering,METAL ENGR,196,162,34
301,1981,Engineering,Industrial Engineering,188,135,53
