Major Name,Total
BUSINESS ED ACT,2
BUSINESS ED MKT,2
ED POL ST,70
ED SEC&CON,102
EDUC ELEMENTARY,124
EDUC GEN,175
Early Childhood Education,76
Ed Organization and Leadership,86
Educ Voc Tech,68
Educational Psychology,136
Elementary Education,408
Special Education,125
TCH ENGL IN MN,15
TCH ENGL OUT MN,52
TCH GEN SCIENCE,1
TCH LIFE SCI,9
TCH PS CHEM,3
TCH PS PHYSICS,2
TCH SOC ST IN,32
TCH SOC ST OUT,26
TECH ED INDUST,3
TECH ED SP,4
