Major Name,Total
African Studies,10
Asian Studies,10
Astronomy,70
Atmospheric Sciences,41
Biochemistry,329
Bioengineering,14
Biology,1209
Biophysics,1
Biophysics & Computnl Biology,71
Cell and Structural Biology,90
Chemical Engineering,417
Chemical Physics,6
Chemistry,694
Classical Philology,7
Classics,35
Comparative Literature,48
Creative Writing,24
E Asian Languages & Cultures,57
"Ecology, Ethology, & Evolution ",3
Economics,742
English,1019
Entomology,32
Finance,217
French,95
General Curriculum,3539
Geography,75
Geology,78
German,19
Germanic Lang & Lit,16
History,671
History of Art,38
Humanities,16
Individual Plans of Study,4
Integrative Biology,188
Interdisciplinary,26
International Studies,255
Italian,10
Latin American Studies,15
Linguistics,97
Math & Computer Science,159
Mathematics,624
Microbiology,77
Molecular & Integrative Physi,43
Molecular and Cellular Biology,690
Molecular&Cell Bio-undeclared,12
Music,20
Neuroscience,61
Nondegree,138
Philosophy,137
Physics,190
Plant Biology,19
Political Science,939
Portuguese,2
Psychology,1361
Religious Studies,21
Rhetoric,138
Russian & E European Studies,11
Russian Lang & Literature,3
Slavic Languages & Literature,2
Sociology,341
Spanish,294
Speech Communication,463
Statistics,64
Statistics & Computer Science,15
Teaching of Biological Science,2
Teaching of Chemistry,8
Teaching of English Sec Lang,56
Teaching of French,6
Teaching of German,1
Teaching of Latin,4
Teaching of Mathematics,1
Teaching of Spanish,26
