,Fall,College,Major Name,Male,Female
5811,2009,Fine and Applied Arts,Architectural Studies,319,235
5812,2009,Fine and Applied Arts,Architecture,115,79
5813,2009,Fine and Applied Arts,Art Education,19,70
5814,2009,Fine and Applied Arts,Art Foundation,47,93
5815,2009,Fine and Applied Arts,Art History,8,23
5816,2009,Fine and Applied Arts,Art and Design,18,27
5817,2009,Fine and Applied Arts,Crafts,3,11
5818,2009,Fine and Applied Arts,Dance,10,72
5819,2009,Fine and Applied Arts,Graphic Design,23,41
5820,2009,Fine and Applied Arts,History of Art,0,13
5821,2009,Fine and Applied Arts,Industrial Design,56,61
5822,2009,Fine and Applied Arts,Instrumental Music,43,51
5823,2009,Fine and Applied Arts,Jazz Performance,36,5
5824,2009,Fine and Applied Arts,Landscape Architecture,76,63
5825,2009,Fine and Applied Arts,Music,168,177
5826,2009,Fine and Applied Arts,Music Composition,9,2
5827,2009,Fine and Applied Arts,Music Education,118,125
5828,2009,Fine and Applied Arts,Music History,3,4
5829,2009,Fine and Applied Arts,Musicology,9,9
5830,2009,Fine and Applied Arts,New Media,10,12
5831,2009,Fine and Applied Arts,Nondegree,15,15
5832,2009,Fine and Applied Arts,Open Studies,7,5
5833,2009,Fine and Applied Arts,Painting,9,22
5834,2009,Fine and Applied Arts,Photography,8,25
5835,2009,Fine and Applied Arts,Regional Planning,14,11
5836,2009,Fine and Applied Arts,Sculpture,1,4
5837,2009,Fine and Applied Arts,Theatre,79,101
5838,2009,Fine and Applied Arts,Urban Planning,98,61
5839,2009,Fine and Applied Arts,Voice,7,23
