,Fall,College,Major Name,Male,Female
2507,1992,Fine and Applied Arts,Architectural Studies,335,170
2508,1992,Fine and Applied Arts,Architecture,144,61
2509,1992,Fine and Applied Arts,Art Education,17,62
2510,1992,Fine and Applied Arts,Art History,17,80
2511,1992,Fine and Applied Arts,Art and Design,180,189
2512,1992,Fine and Applied Arts,Crafts,8,18
2513,1992,Fine and Applied Arts,Dance,5,38
2514,1992,Fine and Applied Arts,Graphic Design,54,66
2515,1992,Fine and Applied Arts,Industrial Design,46,28
2516,1992,Fine and Applied Arts,Landscape Architecture,80,56
2517,1992,Fine and Applied Arts,MUS-VOICE,10,41
2518,1992,Fine and Applied Arts,MUSIC(AMS),53,34
2519,1992,Fine and Applied Arts,MUSIC-COMP,14,5
2520,1992,Fine and Applied Arts,MUSIC-INST,32,54
2521,1992,Fine and Applied Arts,MUSIC-OPEN,2,3
2522,1992,Fine and Applied Arts,Music,62,80
2523,1992,Fine and Applied Arts,Music Education,107,126
2524,1992,Fine and Applied Arts,Music History,1,1
2525,1992,Fine and Applied Arts,PERFORM ST,3,8
2526,1992,Fine and Applied Arts,Regional Planning,15,10
2527,1992,Fine and Applied Arts,Theatre,17,13
2528,1992,Fine and Applied Arts,UNCLASS,26,29
2529,1992,Fine and Applied Arts,Urban Planning,105,72
