,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5267,2006,LAS,General Curriculum,3468,1597,1870,3212,256
5296,2006,LAS,Psychology,1451,411,1039,1223,228
5294,2006,LAS,Political Science,1114,632,481,1002,112
5263,2006,LAS,English,1071,340,729,929,142
5262,2006,LAS,Economics,959,709,247,634,325
5286,2006,LAS,Molecular and Cellular Biology,943,435,506,880,63
5256,2006,LAS,Chemistry,846,512,333,524,322
5251,2006,LAS,Biology,795,346,447,711,84
5272,2006,LAS,History,683,412,270,577,106
5305,2006,LAS,Speech Communication,592,255,337,507,85
