,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1193,1986,ACES,Agricultural & Applied Econ,423,363,60,361,62
1199,1986,ACES,Animal Sciences,392,196,196,343,49
1224,1986,ACES,Physics,364,327,37,119,245
1207,1986,ACES,Food Science & Human Nutrition,218,69,149,162,56
1198,1986,ACES,Agronomy,177,137,40,112,65
1219,1986,ACES,MKT TEXT&A,160,3,157,154,6
1217,1986,ACES,INT DSGN,131,8,123,129,2
1225,1986,ACES,REST MGMT,97,45,52,95,2
1229,1986,ACES,Speech & Hearing Science,91,4,87,81,10
1211,1986,ACES,H DVL-FAM,90,3,87,88,2
