,Fall,College,Major Name,Total,Male,Female
6851,2014,Business,Curric Unassigned,975,534,441
6852,2014,Business,Finance,626,407,219
6849,2014,Business,Business Administration (MBA),311,225,86
6855,2014,Business,Marketing,221,73,148
6859,2014,Business,Technology Management,106,62,44
6854,2014,Business,Management,103,45,58
6857,2014,Business,Supply Chain Management,90,50,40
6848,2014,Business,Business Administration,88,39,49
6856,2014,Business,Nondegree,73,51,22
6853,2014,Business,Information Sys & Info Tech,51,37,14
