Major Name,Total
Agr & Environmental Cmc & Educ,3
Agricultural & Applied Econ,422
Agricultural Communications,78
Agricultural Education,10
Agricultural Engineering,56
Agricultural Sciences,31
Agronomy,124
Animal Sciences,391
CONSM ECON,46
CORE CURR,57
DAIRY SCI,9
DIETETICS,55
EXT EDUC,11
FAM&CON EC,20
Food Science & Human Nutrition,215
Forestry,70
GEN AGR,23
GEN H ECON,5
H DVL-FAM,92
HR&FS A&ID,17
HR&FS GEN,9
HU DEV&FAM,19
Horticulture,57
INST MGMT,1
INT DSGN,89
Industrial Agriculture,42
MKT TEXT&A,117
Mechanical Agriculture,29
Nutritional Sciences,38
ORN HORT,54
PLANT PATH,28
Physics,363
REST MGMT,108
SOIL SCI,5
Secondary Education,33
Spanish,69
Speech & Hearing Science,105
Statistics,56
TEXT-APPRL,31
Teaching of Biological Science,4
Teaching of Chemistry,10
Teaching of English Sec Lang,72
Teaching of French,17
Teaching of German,8
Teaching of Latin,2
Teaching of Mathematics,40
Teaching of Physics,5
VOC H E ED,2
