Major Name,Total
Anthropology,70
Asian Studies,27
Astronomy,15
Atmospheric Sciences,23
Biochemistry,82
Biology,175
Biophysics & Computnl Biology,26
Chemical Engineering,551
Chemical Physics,6
Chemistry,550
Classical Philology,11
Classics,6
Comparative Literature,43
English,110
Entomology,33
French,33
GEN CURR,2182
Genetics,5
Geography,36
Geology,114
German,20
HR&FS,47
History,71
Italian,5
Linguistics,74
Mathematics,159
Microbiology,73
Molecular & Integrative Physi,56
PRE-JOURN,150
PRE-MED,69
PUB ADMIN,13
Philosophy,33
Plant Biology,30
Political Science,40
Psychology,184
SOCIAL SCI,3
Slavic Languages & Literature,20
Sociology,44
Speech Communication,62
TCH BIOL,10
TCH ENGL,40
TCH SOC ST,8
TCH SPEECH,9
UNCLASS,187
