,Fall,College,Major Name,Male,Female
724,1983,LAS,Anthropology,36,21
725,1983,LAS,Asian Studies,7,13
726,1983,LAS,Astronomy,15,2
727,1983,LAS,Atmospheric Sciences,14,7
728,1983,LAS,Biochemistry,67,30
729,1983,LAS,Biology,106,76
730,1983,LAS,Biophysics & Computnl Biology,19,7
731,1983,LAS,Chemical Engineering,421,117
732,1983,LAS,Chemical Physics,5,3
733,1983,LAS,Chemistry,398,159
734,1983,LAS,Classical Philology,8,2
735,1983,LAS,Classics,7,1
736,1983,LAS,Comparative Literature,16,23
737,1983,LAS,English,43,55
738,1983,LAS,Entomology,29,8
739,1983,LAS,French,9,22
740,1983,LAS,GEN CURR,841,1233
741,1983,LAS,Genetics,3,3
742,1983,LAS,Geography,25,9
743,1983,LAS,Geology,73,33
744,1983,LAS,German,14,8
745,1983,LAS,HR&FS,1,36
746,1983,LAS,History,47,26
747,1983,LAS,Italian,1,4
748,1983,LAS,LAS TCH MATH,0,2
749,1983,LAS,Linguistics,34,48
750,1983,LAS,Mathematics,142,39
751,1983,LAS,Microbiology,37,30
752,1983,LAS,Molecular & Integrative Physi,38,18
753,1983,LAS,PRE-JOURN,77,150
754,1983,LAS,PRE-MED,71,66
755,1983,LAS,PUB ADMIN,14,6
756,1983,LAS,Philosophy,32,6
757,1983,LAS,Plant Biology,16,11
758,1983,LAS,Political Science,23,8
759,1983,LAS,Psychology,91,91
760,1983,LAS,SOCIAL SCI,2,2
761,1983,LAS,SP CORRECT,1,0
762,1983,LAS,Slavic Languages & Literature,6,14
763,1983,LAS,Sociology,23,21
764,1983,LAS,Speech Communication,23,24
765,1983,LAS,TCH BIOL,6,14
766,1983,LAS,TCH ENGL,13,25
767,1983,LAS,TCH RUSS,0,1
768,1983,LAS,TCH SOC ST,4,3
769,1983,LAS,TCH SPEECH,2,6
770,1983,LAS,UNCLASS,76,104
