,Fall,College,Major Name,Total,Male,Female
975,1984,Media,Advertising,257,78,179
980,1984,Media,News-Editorial,152,61,91
978,1984,Media,Journalism,47,23,24
976,1984,Media,Broadcast Journalism,41,14,27
977,1984,Media,Communication,37,18,19
979,1984,Media,Media Studies,2,2,0
