Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,349
Agricultural Communications,72
Agricultural Education,20
Agricultural Engineering,89
Agricultural Sciences,75
Agronomy,201
Animal Sciences,498
Application Design,7
CORE CURR,155
DAIRY SCI,67
DIETETICS,34
EXT EDUC,14
FAM&CON EC,13
Food Science & Human Nutrition,204
Forestry,119
GEN AGR,47
GEN AGRIC,1
GEN H ECON,7
H DVL-FAM,40
HOME ECON,151
HOME MGMT,1
HR&FS,2
HR&FS A&ID,3
HR&FS GEN,8
HU DEV&FAM,13
Horticulture,59
INST MGMT,8
INT DSGN,168
Industrial Agriculture,73
MKT TEXT&A,98
Mechanical Agriculture,49
Nutritional Sciences,43
ORN HORT,105
PLANT PATH,40
Physics,356
REST MGMT,52
Secondary Education,20
Spanish,49
Speech & Hearing Science,139
Statistics,10
TEXT-APPRL,11
Teaching of Chemistry,9
Teaching of English Sec Lang,76
Teaching of French,12
Teaching of German,7
Teaching of Latin,2
Teaching of Mathematics,20
Teaching of Physics,1
VOC H E ED,27
Wood Sciences,5
