Major Name,Total
African American Studies,10
Anthropology,99
Applied Mathematics,22
Asian Studies,34
Astronomy,22
Atmospheric Sciences,27
BIOCH,201
Biochemistry,88
Biology,152
Biophysics & Computnl Biology,44
Chemical Engineering,457
Chemical Physics,11
Chemistry,468
Classical Philology,12
Classics,11
Comparative Literature,30
English,133
Entomology,36
French,60
GEN CURR,2207
Geography,45
Geology,67
German,32
History,135
Italian,6
LAS TCH MATH,11
Linguistics,84
Mathematics,188
Microbiology,73
Molecular & Integrative Physi,46
Neuroscience,30
PRE-JOURN,276
PRE-MED,299
Philosophy,54
Plant Biology,37
Political Science,62
Portuguese,6
Psychology,193
REES,1
Slavic Languages & Literature,24
Sociology,50
Speech Communication,61
TCH BIOL,20
TCH ENGL,100
TCH RUSS,1
TCH SOC ST,47
TCH SPEECH,7
TEACH CS,3
TRANSITION,192
UNCLASS,209
UNCM FR&SO,224
