,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3457,1997,Business,Business Administration,1451,824,627,909,542
3456,1997,Business,Accountancy,996,511,485,822,174
3462,1997,Business,Finance,761,522,239,647,114
3468,1997,Business,UNASSIGNED,598,338,260,507,91
3459,1997,Business,Computer Science,363,295,68,62,301
3460,1997,Business,Economics,235,153,82,56,179
3467,1997,Business,Theatre,148,63,85,77,71
3466,1997,Business,Technical Systems Management,49,46,3,49,0
3461,1997,Business,Executive MBA Program,33,24,9,29,4
3464,1997,Business,Leisure Studies,30,9,21,29,1
