,Fall,College,Major Name,Total,Male,Female
6467,2012,Fine and Applied Arts,Architectural Studies,482,274,208
6481,2012,Fine and Applied Arts,Music,329,158,170
6468,2012,Fine and Applied Arts,Architecture,196,116,80
6493,2012,Fine and Applied Arts,Theatre,195,90,105
6483,2012,Fine and Applied Arts,Music Education,166,77,89
6494,2012,Fine and Applied Arts,Urban Planning,143,77,66
6470,2012,Fine and Applied Arts,Art Foundation,123,32,91
6480,2012,Fine and Applied Arts,Landscape Architecture,113,50,63
6477,2012,Fine and Applied Arts,Industrial Design,110,55,55
6475,2012,Fine and Applied Arts,Graphic Design,76,27,49
