,Fall,College,Major Name,Male,Female
3596,1998,ACES,Agr & Consumer Economics,169,90
3597,1998,ACES,Agr & Environmental Cmc & Educ,37,77
3598,1998,ACES,Agr Engineering & Agr Science,45,13
3599,1998,ACES,Agricultural & Applied Econ,99,28
3600,1998,ACES,Agricultural Communications,6,13
3601,1998,ACES,Agricultural Education,0,2
3602,1998,ACES,Agricultural Engineering,6,2
3603,1998,ACES,Agricultural Sciences,7,3
3604,1998,ACES,Agronomy,40,15
3605,1998,ACES,Animal Sciences,199,380
3606,1998,ACES,CFTM-CNSMR&TXTL,9,68
3607,1998,ACES,CFTM-MKT&PRICE,19,5
3608,1998,ACES,CONSM ECON,0,3
3609,1998,ACES,Crop Sciences,68,33
3610,1998,ACES,DIETETICS,1,9
3611,1998,ACES,Food Science & Human Nutrition,98,248
3612,1998,ACES,Forestry,28,20
3613,1998,ACES,H DVL-FAM,4,62
3614,1998,ACES,HDFS,0,1
3615,1998,ACES,HDFS-CH&AD DEV,6,88
3616,1998,ACES,HDFS-FS,2,34
3617,1998,ACES,HORT -- P&M,27,31
3618,1998,ACES,HORT--HORT SCI,2,5
3619,1998,ACES,HR&FS A&ID,0,3
3620,1998,ACES,HU DEV&FAM,2,10
3621,1998,ACES,Horticulture,12,9
3622,1998,ACES,Human & Community Development,2,9
3623,1998,ACES,INTRSRCCNSECON,1,1
3624,1998,ACES,IRCE-CONS EC&F,35,15
3625,1998,ACES,IRCE-E&NR MGMT,4,2
3626,1998,ACES,IRCE-INDCURRIC,7,2
3627,1998,ACES,"IRCE-POL,TRD,DV",12,13
3628,1998,ACES,MKT TEXT&A,0,7
3629,1998,ACES,Mechanical Agriculture,11,0
3630,1998,ACES,NRES - SOILS,2,3
3631,1998,ACES,NRES-BIOL SCI,54,63
3632,1998,ACES,NRES-SOC SCI,16,20
3633,1998,ACES,Natural Res & Env Sciences,1,1
3634,1998,ACES,Natural Resrcs & Environ Sci,60,38
3635,1998,ACES,Nutritional Sciences,14,30
3636,1998,ACES,ORN HORT,17,22
3637,1998,ACES,PLANT PATH,10,2
3638,1998,ACES,Physics,255,20
3639,1998,ACES,REST MGMT,7,6
3640,1998,ACES,"Recreation, Sport, and Tourism ",54,26
3641,1998,ACES,Secondary Education,4,13
3642,1998,ACES,Spanish,21,34
3643,1998,ACES,Speech & Hearing Science,5,200
3644,1998,ACES,Statistics,5,10
3645,1998,ACES,Teaching of Biological Science,0,7
3646,1998,ACES,Teaching of Chemistry,4,3
3647,1998,ACES,Teaching of Earth Science,2,1
3648,1998,ACES,Teaching of English Sec Lang,15,49
3649,1998,ACES,Teaching of French,2,1
3650,1998,ACES,Teaching of German,1,3
3651,1998,ACES,Teaching of Latin,2,1
3652,1998,ACES,Teaching of Mathematics,3,5
3653,1998,ACES,Teaching of Physics,2,0
