,Fall,College,Major Name,Male,Female
1531,1987,LAS,Anthropology,33,25
1532,1987,LAS,Applied Mathematics,16,12
1533,1987,LAS,Asian Studies,8,8
1534,1987,LAS,Astronomy,18,2
1535,1987,LAS,Atmospheric Sciences,19,5
1536,1987,LAS,BIOCH,91,79
1537,1987,LAS,Biochemistry,77,42
1538,1987,LAS,Biology,67,72
1539,1987,LAS,Biophysics & Computnl Biology,28,6
1540,1987,LAS,Chemical Engineering,310,124
1541,1987,LAS,Chemical Physics,2,1
1542,1987,LAS,Chemistry,373,151
1543,1987,LAS,Classical Philology,7,2
1544,1987,LAS,Classics,3,3
1545,1987,LAS,Comparative Literature,12,21
1546,1987,LAS,English,57,58
1547,1987,LAS,Entomology,23,9
1548,1987,LAS,French,12,34
1549,1987,LAS,GEN CURR,932,1214
1550,1987,LAS,Genetics,2,0
1551,1987,LAS,Geography,28,14
1552,1987,LAS,Geology,51,19
1553,1987,LAS,German,18,13
1554,1987,LAS,HR&FS,0,1
1555,1987,LAS,History,64,38
1556,1987,LAS,Italian,3,3
1557,1987,LAS,LAS TCH MATH,3,8
1558,1987,LAS,Linguistics,43,46
1559,1987,LAS,Mathematics,116,47
1560,1987,LAS,Microbiology,37,26
1561,1987,LAS,Molecular & Integrative Physi,38,20
1562,1987,LAS,PRE-JOURN,191,414
1563,1987,LAS,PRE-MED,106,87
1564,1987,LAS,PUB ADMIN,4,2
1565,1987,LAS,Philosophy,33,9
1566,1987,LAS,Plant Biology,13,25
1567,1987,LAS,Political Science,38,11
1568,1987,LAS,Portuguese,0,1
1569,1987,LAS,Psychology,101,90
1570,1987,LAS,Slavic Languages & Literature,10,16
1571,1987,LAS,Sociology,15,20
1572,1987,LAS,Speech Communication,20,26
1573,1987,LAS,TCH BIOL,4,18
1574,1987,LAS,TCH ENGL,12,44
1575,1987,LAS,TCH SOC ST,10,5
1576,1987,LAS,TCH SPEECH,2,4
1577,1987,LAS,TEACH CS,1,2
1578,1987,LAS,UNCLASS,64,93
1579,1987,LAS,UNCM FR&SO,76,73
