,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
695,1983,Engineering,Electrical Engineering,1657,1475,182,1389,268
699,1983,Engineering,Mechanical Engineering,867,789,78,781,86
690,1983,Engineering,Computer Science,684,482,202,654,30
688,1983,Engineering,Civil Engineering,611,517,94,475,136
684,1983,Engineering,Aero & Astro Engineering,473,428,45,426,47
696,1983,Engineering,GEN ENGR,470,324,146,459,11
689,1983,Engineering,Computer Engineering,426,348,78,400,26
698,1983,Engineering,METAL ENGR,185,153,32,122,63
686,1983,Engineering,CER ENGR,155,121,34,135,20
697,1983,Engineering,Industrial Engineering,154,102,52,149,5
