,Fall,College,Major Name,Total,Male,Female
1659,1988,Aviation,PP/AS,109,93,16
1660,1988,Aviation,Professional Pilot,59,52,7
1656,1988,Aviation,Air Systems,15,15,0
1658,1988,Aviation,Nondegree,12,11,1
1657,1988,Aviation,Avionics,7,7,0
