,Fall,College,Major Name,Male,Female
2530,1992,LAS,African American Studies,2,1
2531,1992,LAS,Anthropology,41,56
2532,1992,LAS,Applied Mathematics,10,15
2533,1992,LAS,Asian Studies,11,23
2534,1992,LAS,Astronomy,14,6
2535,1992,LAS,Atmospheric Sciences,30,6
2536,1992,LAS,BIOCH,81,64
2537,1992,LAS,Biochemistry,62,41
2538,1992,LAS,Biology,91,68
2539,1992,LAS,Biophysics & Computnl Biology,29,20
2540,1992,LAS,Chemical Engineering,287,157
2541,1992,LAS,Chemical Physics,10,1
2542,1992,LAS,Chemistry,336,125
2543,1992,LAS,Classical Philology,5,4
2544,1992,LAS,Classics,11,5
2545,1992,LAS,Comparative Literature,14,20
2546,1992,LAS,English,65,77
2547,1992,LAS,Entomology,13,15
2548,1992,LAS,French,22,37
2549,1992,LAS,GEN CURR,972,1121
2550,1992,LAS,Geography,28,21
2551,1992,LAS,Geology,39,20
2552,1992,LAS,German,17,23
2553,1992,LAS,History,94,40
2554,1992,LAS,Italian,1,4
2555,1992,LAS,LAS TCH MATH,6,7
2556,1992,LAS,Linguistics,42,51
2557,1992,LAS,Mathematics,148,46
2558,1992,LAS,Microbiology,39,21
2559,1992,LAS,Molecular & Integrative Physi,31,20
2560,1992,LAS,Neuroscience,16,9
2561,1992,LAS,PRE-JOURN,167,268
2562,1992,LAS,PRE-MED,98,115
2563,1992,LAS,Philosophy,34,11
2564,1992,LAS,Plant Biology,9,14
2565,1992,LAS,Political Science,46,20
2566,1992,LAS,Portuguese,1,5
2567,1992,LAS,Psychology,101,116
2568,1992,LAS,Slavic Languages & Literature,13,16
2569,1992,LAS,Sociology,19,30
2570,1992,LAS,Speech Communication,27,32
2571,1992,LAS,TCH BIOL,9,18
2572,1992,LAS,TCH ENGL,28,59
2573,1992,LAS,TCH RUSS,1,5
2574,1992,LAS,TCH SOC ST,21,33
2575,1992,LAS,TCH SPEECH,0,4
2576,1992,LAS,TEACH CS,3,1
2577,1992,LAS,UNCLASS,109,117
2578,1992,LAS,UNCM FR&SO,105,115
