,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1998,1990,ACES,Agricultural & Applied Econ,438,352,86,373,65
2004,1990,ACES,Animal Sciences,406,201,205,327,79
2027,1990,ACES,Physics,379,338,41,114,265
2011,1990,ACES,Food Science & Human Nutrition,193,69,124,135,58
2003,1990,ACES,Agronomy,123,99,24,75,48
2028,1990,ACES,REST MGMT,116,63,53,114,2
2022,1990,ACES,MKT TEXT&A,114,8,106,112,2
2032,1990,ACES,Speech & Hearing Science,112,8,104,101,11
2015,1990,ACES,H DVL-FAM,107,8,99,104,3
2038,1990,ACES,Teaching of English Sec Lang,76,12,64,22,54
