,Fall,College,Major Name,Total,Male,Female
1307,1986,Fine and Applied Arts,Architectural Studies,598,423,175
1311,1986,Fine and Applied Arts,Art and Design,360,161,199
1322,1986,Fine and Applied Arts,Music Education,277,117,160
1308,1986,Fine and Applied Arts,Architecture,206,156,50
1328,1986,Fine and Applied Arts,Urban Planning,160,88,72
1321,1986,Fine and Applied Arts,Music,151,69,82
1314,1986,Fine and Applied Arts,Graphic Design,135,54,81
1316,1986,Fine and Applied Arts,Landscape Architecture,135,84,51
1315,1986,Fine and Applied Arts,Industrial Design,117,71,46
1320,1986,Fine and Applied Arts,MUSIC-INST,79,32,47
