,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
6190,2011,Business,Curric Unassigned,1032,583,449,845,187
6191,2011,Business,Finance,662,448,214,383,279
6188,2011,Business,Business Administration (MBA),344,251,93,213,131
6194,2011,Business,Marketing,205,72,133,174,31
6193,2011,Business,Management,150,77,73,134,16
6195,2011,Business,Nondegree,91,57,34,0,91
6198,2011,Business,Technology Management,81,56,24,13,68
6196,2011,Business,Supply Chain Management,50,27,23,44,6
6187,2011,Business,Business Administration,44,25,19,1,43
6192,2011,Business,Information Sys & Info Tech,35,28,7,27,8
