Major Name,Total
Architectural Studies,513
Architecture,212
Art Education,98
Art History,49
Art and Design,297
Crafts,31
Dance,68
Graphic Design,90
Industrial Design,75
Landscape Architecture,154
MUS-VOICE,25
MUSIC(AMS),108
MUSIC-COMP,17
MUSIC-INST,86
MUSIC-OPEN,5
Music,141
Music Education,248
Music History,5
PERFORM ST,30
Regional Planning,20
Theatre,46
UNCLASS,32
Urban Planning,162
