Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,405
Agricultural Communications,85
Agricultural Education,12
Agricultural Engineering,98
Agricultural Sciences,38
Agronomy,123
Animal Sciences,433
CONSM ECON,47
CORE CURR,67
DIETETICS,50
EXT EDUC,12
FAM&CON EC,13
Food Science & Human Nutrition,228
Forestry,130
GEN AGR,15
GEN H ECON,6
H DVL-FAM,155
HR&FS A&ID,17
HU DEV&FAM,23
Horticulture,58
INT DSGN,11
Industrial Agriculture,1
MKT TEXT&A,102
Mechanical Agriculture,77
Nutritional Sciences,34
ORN HORT,90
PLANT PATH,33
Physics,365
REST MGMT,74
SOIL SCI,6
Secondary Education,46
Spanish,55
Speech & Hearing Science,163
Statistics,36
TEXT-APPRL,22
Teaching of Biological Science,5
Teaching of Chemistry,19
Teaching of English Sec Lang,90
Teaching of French,15
Teaching of German,6
Teaching of Latin,2
Teaching of Mathematics,31
Teaching of Physics,5
VOC H E ED,2
