,Fall,College,Major Name,Total,Male,Female
1106,1985,Fine and Applied Arts,Architectural Studies,604,435,169
1110,1985,Fine and Applied Arts,Art and Design,402,179,223
1121,1985,Fine and Applied Arts,Music Education,269,119,150
1107,1985,Fine and Applied Arts,Architecture,213,172,41
1127,1985,Fine and Applied Arts,Urban Planning,160,93,67
1120,1985,Fine and Applied Arts,Music,159,65,94
1113,1985,Fine and Applied Arts,Graphic Design,144,53,91
1115,1985,Fine and Applied Arts,Landscape Architecture,137,85,52
1114,1985,Fine and Applied Arts,Industrial Design,134,76,58
1119,1985,Fine and Applied Arts,MUSIC-INST,92,40,52
