,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4724,2003,LAS,GEN CURR,2090,1052,1038,1924,166
4709,2003,LAS,Biology,840,366,474,731,109
4737,2003,LAS,PRE-JOURN,593,171,422,541,52
4713,2003,LAS,Chemical Engineering,413,294,119,241,172
4715,2003,LAS,Chemistry,391,244,147,128,263
4738,2003,LAS,PRE-MED,303,129,174,280,23
4748,2003,LAS,TRANSITION,206,83,123,190,16
4750,2003,LAS,UNCM FR&SO,196,92,104,183,13
4743,2003,LAS,Psychology,193,69,124,29,164
4707,2003,LAS,BIOCH,169,78,91,140,29
