,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4442,2002,Aviation,Aviation Human Factors,188,171,17,0,171
4444,2002,Aviation,Professional Pilot,66,59,7,0,61
4443,2002,Aviation,Nondegree,8,6,2,0,7
