,Fall,College,Major Name,Total,Male,Female
783,1983,VetMed,Veterinary Medicine,327,181,146
780,1983,VetMed,VMS - Veterinary Pathobiology,38,21,17
779,1983,VetMed,VMS - Veterinary Biosciences,32,22,10
781,1983,VetMed,VMS-Veterinary Clinical Medcne,12,8,4
782,1983,VetMed,Veterinary Medical Science,3,2,1
