,Fall,College,Major Name,Total,Male,Female
7554,2017,Engineering,Computer Science,2048,1557,491
7552,2017,Engineering,Civil Engineering,1319,957,362
7567,2017,Engineering,Mechanical Engineering,1306,1071,235
7553,2017,Engineering,Computer Engineering,1270,1114,156
7556,2017,Engineering,Electrical Engineering,1025,879,146
7547,2017,Engineering,Aerospace Engineering,716,612,104
7555,2017,Engineering,Electrical & Computer Engr,620,512,108
7566,2017,Engineering,Materials Science & Engr,520,369,151
7565,2017,Engineering,Industrial Engineering,390,275,115
7549,2017,Engineering,Bioengineering,369,187,182
