,Fall,College,Major Name,Male,Female
2665,1993,Education,BUS EDUC,3,1
2666,1993,Education,ED POL ST,18,46
2667,1993,Education,ED SEC&CON,43,78
2668,1993,Education,EDUC ELEMENTARY,17,119
2669,1993,Education,EDUC GEN,66,116
2670,1993,Education,Early Childhood Education,2,76
2671,1993,Education,Ed Organization and Leadership,40,56
2672,1993,Education,Educ Voc Tech,37,31
2673,1993,Education,Educational Psychology,39,105
2674,1993,Education,Elementary Education,32,369
2675,1993,Education,Special Education,10,106
2676,1993,Education,TCH ENGL,12,52
2677,1993,Education,TCH GEN SCIENCE,4,1
2678,1993,Education,TCH LIFE SCI,2,7
2679,1993,Education,TCH PHYS SCI,2,3
2680,1993,Education,TCH SOC ST,35,29
2681,1993,Education,TECH ED SP,19,2
2682,1993,Education,UG NON-DEG,1,0
