,Fall,College,Major Name,Male,Female
3871,1999,Business,Accountancy,454,433
3872,1999,Business,Business Administration,767,588
3873,1999,Business,CBA NON-DEGREE,18,16
3874,1999,Business,Computer Science,306,78
3875,1999,Business,Economics,178,74
3876,1999,Business,Executive MBA Program,45,9
3877,1999,Business,Finance,612,334
3878,1999,Business,INT'L MSBA,22,9
3879,1999,Business,Leisure Studies,10,32
3880,1999,Business,Teaching of Spanish,0,16
3881,1999,Business,Technical Systems Management,66,8
3882,1999,Business,Theatre,54,54
3883,1999,Business,UNASSIGNED,302,275
