,Fall,College,Major Name,Total,Male,Female
1708,1988,Fine and Applied Arts,Architectural Studies,587,415,172
1712,1988,Fine and Applied Arts,Art and Design,365,173,192
1724,1988,Fine and Applied Arts,Music Education,273,111,162
1709,1988,Fine and Applied Arts,Architecture,235,186,49
1730,1988,Fine and Applied Arts,Urban Planning,142,74,68
1717,1988,Fine and Applied Arts,Landscape Architecture,133,87,46
1715,1988,Fine and Applied Arts,Graphic Design,132,56,76
1723,1988,Fine and Applied Arts,Music,129,53,76
1721,1988,Fine and Applied Arts,MUSIC-INST,102,38,64
1716,1988,Fine and Applied Arts,Industrial Design,88,60,28
