,Fall,College,Major Name,Total,Male,Female
895,1984,Engineering,Electrical Engineering,1755,1543,212
899,1984,Engineering,Mechanical Engineering,879,793,86
890,1984,Engineering,Computer Science,600,443,157
888,1984,Engineering,Civil Engineering,552,469,83
885,1984,Engineering,Aero & Astro Engineering,495,445,50
889,1984,Engineering,Computer Engineering,484,408,76
896,1984,Engineering,GEN ENGR,432,305,127
898,1984,Engineering,METAL ENGR,165,136,29
887,1984,Engineering,CER ENGR,156,117,39
900,1984,Engineering,Nuclear Engineering,142,131,11
