Major Name,Total
African American Studies,6
Anthropology,75
Applied Mathematics,16
Asian Studies,32
Astronomy,22
Atmospheric Sciences,29
BIOCH,225
Biochemistry,95
Biology,127
Biophysics & Computnl Biology,39
Chemical Engineering,464
Chemical Physics,9
Chemistry,439
Classical Philology,12
Classics,10
Comparative Literature,32
English,105
Entomology,35
French,45
GEN CURR,2509
Geography,43
Geology,60
German,35
History,126
Italian,6
LAS TCH MATH,3
Linguistics,68
Mathematics,195
Microbiology,61
Molecular & Integrative Physi,54
Neuroscience,34
PRE-JOURN,363
PRE-MED,264
Philosophy,39
Plant Biology,40
Political Science,47
Portuguese,5
Psychology,191
REES,7
Slavic Languages & Literature,16
Sociology,43
Speech Communication,53
TCH BIOL,20
TCH ENGL,41
TCH SOC ST,26
TCH SPEECH,3
TEACH CS,1
TRANSITION,226
UNCLASS,262
UNCM FR&SO,178
