,Fall,College,Major Name,Total,Male,Female
5722,2009,ACES,Agr & Consumer Economics,646,425,221
5728,2009,ACES,Animal Sciences,620,168,451
5732,2009,ACES,Food Science & Human Nutrition,443,97,346
5735,2009,ACES,Human Development & Family St,208,14,192
5738,2009,ACES,Natural Resrcs & Environ Sci,195,99,96
5731,2009,ACES,Crop Sciences,163,115,48
5737,2009,ACES,Natural Res & Env Sciences,88,52,36
5723,2009,ACES,Agr & Environmental Cmc & Educ,82,18,64
5724,2009,ACES,Agr Engineering & Agr Science,69,60,9
5740,2009,ACES,Nutritional Sciences,58,14,44
