Major Name,Total
Aerospace Engineering,514
Agricultural & Biological Engr,14
Agricultural Engineering,90
Bioengineering,173
Civil Engineering,955
Computer Engineering,446
Computer Science,980
Electrical & Computer Engr,504
Electrical Engineering,804
Engineering Mechanics,75
Engineering Physics,131
Environ Engr in Civil Engr,75
Environ Science in Civil Engr,10
General Engineering,542
Industrial Engineering,125
Materials Science & Engr,439
Mechanical Engineering,1099
Nondegree,135
Nuclear Engineering,174
Physics,302
Systems & Entrepreneurial Engr,33
Theoretical & Applied Mechans,47
