,Fall,Major Name,Male,Female
188,1981,Agr & Environmental Cmc & Educ,4,1
189,1981,Agricultural & Applied Econ,289,60
190,1981,Agricultural Communications,21,51
191,1981,Agricultural Education,17,3
192,1981,Agricultural Engineering,171,19
193,1981,Agricultural Sciences,52,23
194,1981,Agronomy,156,45
195,1981,Air Systems,134,9
196,1981,Animal Sciences,252,246
197,1981,Anthropology,32,32
198,1981,Application Design,0,7
199,1981,Architectural Studies,434,163
200,1981,Architecture,176,37
201,1981,Art Education,7,61
202,1981,Art History,21,55
203,1981,Art and Design,156,259
204,1981,Asian Studies,10,8
205,1981,Astronomy,13,2
206,1981,Atmospheric Sciences,17,5
207,1981,Avionics,10,0
208,1981,BUS EDUC,3,22
209,1981,Biochemistry,59,25
210,1981,Biology,102,89
211,1981,Biophysics & Computnl Biology,19,6
212,1981,Broadcast Journalism,17,21
213,1981,Business Administration,736,551
214,1981,CER ENGR,106,29
215,1981,CERAMICS,2,1
216,1981,CORE CURR,112,43
217,1981,Chemical Engineering,444,123
218,1981,Chemical Physics,5,2
219,1981,Chemistry,409,128
220,1981,Civil Engineering,701,110
221,1981,Classical Philology,9,2
222,1981,Classics,5,3
223,1981,Communication,15,23
224,1981,Community Health,15,24
225,1981,Comparative Literature,20,24
226,1981,Computer Engineering,275,48
227,1981,Computer Science,623,206
228,1981,Crafts,7,12
229,1981,DAIRY SCI,46,21
230,1981,DIETETICS,1,33
231,1981,Dance,5,36
232,1981,ED POL ST,35,28
233,1981,ED SEC&CON,40,70
234,1981,EDUC ELEMENTARY,23,118
235,1981,EDUC GEN,21,92
236,1981,EDUC IDISC,4,3
237,1981,ENGR MECH,36,11
238,1981,ENGR PHYS,91,7
239,1981,ENV ENGR,26,3
240,1981,ENV SCI,9,3
241,1981,EXT EDUC,5,9
242,1981,Early Childhood Education,0,57
243,1981,Economics,137,46
244,1981,Ed Organization and Leadership,57,72
245,1981,Educ Voc Tech,54,61
246,1981,Educational Psychology,69,79
247,1981,Electrical Engineering,1402,159
248,1981,Elementary Education,27,405
249,1981,English,51,50
250,1981,Entomology,21,7
251,1981,FAM&CON EC,0,13
252,1981,Finance,339,169
253,1981,Food Science & Human Nutrition,77,127
254,1981,Forestry,91,28
255,1981,French,6,27
256,1981,GEN AGR,37,10
257,1981,GEN AGRIC,1,0
258,1981,GEN CURR,1103,1358
259,1981,GEN ENGR,446,140
260,1981,GEN H ECON,0,7
261,1981,Genetics,2,3
262,1981,Geography,30,13
263,1981,Geology,76,38
264,1981,German,11,11
265,1981,Graphic Design,37,128
266,1981,H DVL-FAM,1,39
267,1981,HEALTH&SAF,6,6
268,1981,HLTH EDUC,16,64
269,1981,HOME ECON,0,151
270,1981,HOME MGMT,0,1
271,1981,HR&FS,1,50
272,1981,HR&FS A&ID,0,3
