Major Name,Total
Agr & Consumer Economics,336
Agr & Environmental Cmc & Educ,98
Agr Engineering & Agr Science,42
"Agribusiness, Farm & Financial ",208
Agricultural Education,3
Animal Sciences,617
Consumer and Textile Marketing,31
Crop Sciences,153
Food Science & Human Nutrition,414
Horticulture,72
Human & Community Development,28
Human Development & Family St,222
"Intl, Resource, Consumer Econ ",116
Natural Res & Env Sciences,99
Natural Resrcs & Environ Sci,211
Nondegree,13
Nutritional Sciences,61
