Major Name,Total
ACES Undeclared,55
Accountancy,1430
Actuarial Science,398
Advertising,645
African American Studies,20
Anthropology,152
Applied Mathematics,13
Curriculum and Instruction,79
Early Childhood Education,56
Ed Organization and Leadership,22
"Educ Policy, Orgzn & Leadrshp ",705
Education Curriculum Uassign,22
Educational Policy Studies,41
Educational Psychology,51
Elementary Education,302
Human Resource Education,19
Learning and Education Studies,48
Middle Grades Education,82
Nondegree,5
Secondary Education,20
Special Education,160
