Major Name,Total
Agr & Consumer Economics,570
Agr & Environmental Cmc & Educ,90
Agr Engineering & Agr Science,44
"Agribusiness, Farm & Financial ",100
Agricultural Education,4
Animal Sciences,638
Consumer and Textile Marketing,9
Crop Sciences,146
Food Science & Human Nutrition,413
Horticulture,62
Human & Community Development,27
Human Development & Family St,192
"Intl, Resource, Consumer Econ ",55
Natural Res & Env Sciences,91
Natural Resrcs & Environ Sci,197
Nondegree,13
Nutritional Sciences,60
