Major Name,Total
Agr & Environmental Cmc & Educ,7
Agricultural & Applied Econ,443
Agricultural Communications,79
Agricultural Education,14
Agricultural Engineering,74
Agricultural Sciences,43
Agronomy,133
Animal Sciences,410
CONSM ECON,76
CORE CURR,64
DIETETICS,42
EXT EDUC,11
FAM&CON EC,16
Food Science & Human Nutrition,204
Forestry,103
GEN AGR,23
GEN H ECON,12
H DVL-FAM,123
HR&FS A&ID,12
HR&FS GEN,3
HU DEV&FAM,24
Horticulture,58
INT DSGN,22
Industrial Agriculture,4
MKT TEXT&A,101
Mechanical Agriculture,63
Nutritional Sciences,41
ORN HORT,78
PLANT PATH,29
Physics,382
REST MGMT,101
SOIL SCI,5
Secondary Education,31
Spanish,68
Speech & Hearing Science,123
Statistics,49
TEXT-APPRL,26
Teaching of Biological Science,3
Teaching of Chemistry,15
Teaching of English Sec Lang,83
Teaching of French,12
Teaching of German,6
Teaching of Latin,1
Teaching of Mathematics,31
Teaching of Physics,3
VOC H E ED,3
