Major Name,Total
Aerospace Engineering,686
Agricultural & Biological Engr,141
Bioengineering,383
Bioinformatics,6
Civil Engineering,1225
Computer Engineering,1184
Computer Science,2318
Electrical & Computer Engr,657
Electrical Engineering,913
Engineering,34
Engineering Mechanics,112
Engineering Physics,275
Engineering Undeclared,151
Environ Engr in Civil Engr,99
Financial Engineering,127
Industrial Engineering,367
Materials Science & Engr,504
Mechanical Engineering,1285
Nondegree,181
"Nuclear, Plasma, Radiolgc Engr ",218
Physics,290
Systems & Entrepreneurial Engr,22
Systems Engineering and Design,249
Theoretical & Applied Mechans,36
