Major Name,Total
Agr & Consumer Economics,83
Agr & Environmental Cmc & Educ,103
Agr Engineering & Agr Science,37
"Agribusiness, Farm & Financial ",317
Agricultural Economics,1
Agricultural Education,7
Animal Sciences,598
Consumer and Textile Marketing,54
Crop Sciences,149
Food Science & Human Nutrition,440
Forestry,1
Horticulture,72
Human & Community Development,31
Human Development & Family St,216
"Intl, Resource, Consumer Econ ",174
Natural Res & Env Sciences,94
Natural Resrcs & Environ Sci,196
Nondegree,11
Nutritional Sciences,53
