,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1462,1987,Business,Accountancy,1039,504,535,946,93
1463,1987,Business,Business Administration,945,570,375,762,183
1471,1987,Business,UNASSIGNED,691,359,332,648,43
1467,1987,Business,Finance,658,390,268,603,55
1465,1987,Business,Computer Science,394,335,59,132,262
1466,1987,Business,Economics,236,191,45,72,164
1468,1987,Business,MARKETING,201,64,137,198,3
1470,1987,Business,Theatre,104,52,52,60,44
1469,1987,Business,Teaching of Spanish,30,3,27,27,3
1464,1987,Business,COM TEACH,1,1,0,1,0
