Major Name,Total
Anthropology,78
Applied Mathematics,40
Asian Studies,30
Astronomy,16
Atmospheric Sciences,23
BIOCH,161
Biochemistry,99
Biology,141
Biophysics & Computnl Biology,45
Chemical Engineering,395
Chemical Physics,9
Chemistry,487
Classical Philology,8
Classics,15
Comparative Literature,33
English,127
Entomology,27
French,55
GEN CURR,2184
Geography,39
Geology,48
German,37
History,117
Italian,4
LAS TCH MATH,13
Linguistics,94
Mathematics,204
Microbiology,69
Molecular & Integrative Physi,60
PRE-JOURN,545
PRE-MED,164
PUB ADMIN,1
Philosophy,38
Plant Biology,29
Political Science,59
Portuguese,4
Psychology,195
Slavic Languages & Literature,24
Sociology,45
Speech Communication,53
TCH BIOL,18
TCH ENGL,81
TCH RUSS,5
TCH SOC ST,24
TCH SPEECH,6
TEACH CS,6
UNCLASS,225
UNCM FR&SO,298
