Major Name,Total
Biology,94
CUR INST 2,13
CUR INST#1,3
CUR INST#3,15
HLTH EDUC,27
HLTH PL AD,52
Kinesiology,220
Leisure Studies,44
OUTDR REC,19
PERSN AREA,2
PROG MANAG,155
SOC SCI SP,21
THER REC,47
